Category,asin,Rank,Product Name,Rating,Rating Count,Price,tag
Coffee Filters,B0007VJMM4,15.0,Melitta Two Cup Coffee Filter Paper: Pack of 80,4.4,1291.0,575.0,Coffee Filter Paper
Disposable Coffee Filters,B0007VJMM4,11.0,Melitta Two Cup Coffee Filter Paper: Pack of 80,4.4,1291.0,575.0,Coffee Filter Paper: Pack of 80
Disposable Coffee Filters,B000WVZMW8,20.0,"Melitta Coffee Filter Papers, Size 1x4, Pack of 80",4.7,9091.0,590.0,Coffee Filter Papers
Coffee Filters,B000WVZMW8,29.0,"Melitta Coffee Filter Papers, Size 1x4, Pack of 80",4.7,9091.0,590.0,Coffee Filter Papers
Disposable Coffee Filters,B00EXT6RI8,22.0,Hario Paper Coffee Filter Misarashi for 02 Dripper: 2-Pack,4.8,372.0,1423.0,Coffee Filter for Dripper
Reusable Filters,B08TW6TW57,8.0,"Stainless Steel Coffee Filter, 51mm Double Layer Pressurized Filter Basket Espresso Filter Basket for Portafilter Coffee Machine(Double Cup)",4.3,380.0,2581.0,Coffee Filter for Espresso Machine
Disposable Coffee Filters,B001O0R46I,2.0,"Hario V60 Paper Coffee Filters, Size 02, Natural, Tabbed",4.6,18269.0,712.0,Coffee Filters
Disposable Coffee Filters,B0029PVRXS,16.0,"HARIO Coffee Paper Filters (Size 02, 100 Sheets, Natural) (V60 Filters)",4.5,3791.0,,Coffee Filters
Disposable Coffee Filters,B00G1IBP9U,18.0,"Technivorm #4 Coffee Filters 85022, Box of 100",4.8,6089.0,1728.0,Coffee Filters
Disposable Coffee Filters,B004H78YAU,19.0,"BUNN Coffee Filters, 10/12-Cup Size, 100 Filters/Pack",4.7,2370.0,1550.0,Coffee Filters
Coffee Filters,B00G1IBP9U,24.0,"Technivorm #4 Coffee Filters 85022, Box of 100",4.8,6089.0,1728.0,Coffee Filters
Coffee Filters,B004H78YAU,26.0,"BUNN Coffee Filters, 10/12-Cup Size, 100 Filters/Pack",4.7,2370.0,1550.0,Coffee Filters
Manual Grinders,B0BR7CVF2R,2.0,"AGARO Supreme Coffee Grinder, Conical Burr Grinder, 31 Grinding Settings, Pulse Mode, Adjustable Digital Timer, Single Dose Grinder for Espresso Filter Dripper Moca, Espresso, Silver",4.4,327.0,5930.0,Coffee Grinder
Coffee Grinders,B0BR7CVF2R,7.0,"AGARO Supreme Coffee Grinder, Conical Burr Grinder, 31 Grinding Settings, Pulse Mode, Adjustable Digital Timer, Single Dose Grinder for Espresso Filter Dripper Moca, Espresso, Silver",4.4,327.0,5930.0,Coffee Grinder
Espresso Machines,B01IHRLMAE,10.0,"Nespresso Citiz and Milk Coffee Machine, Black by Magimix",4.7,1570.0,31999.0,Coffee Machine
Drip Coffee Machines,B07WJ4NG21,4.0,"Pigeon Brewster Coffee Maker, 600 Watt, 4 Cups Drip Coffee maker (Black)",3.6,3913.0,1099.0,Coffee Maker
Drip Coffee Machines,B0BFFCF1JP,19.0,Wonderchef Regalia Pronto Coffee Maker 600W |Coffee Brewer Machine for Home & Office|750ml Borosilicate Glass Carafe||6 Cups Coffee| Black & Silver|Keep Hot Plate |2 Year Warranty,3.8,866.0,2199.0,Coffee Maker
Drip Coffee Machines,B008P7IF02,18.0,Morphy Richards New Europa Coffee Making Machine|800W Espresso & Cappuccino Coffee Machine For Home|4-Cups Capacity*|Milk Frothing Nozzle|Removable Drip Tray|2-Yr Warranty By Brand|Black,3.8,4235.0,4499.0,Coffee Making Machine
Measuring Spoons,B019R4JNBQ,23.0,"Chef Craft 4 Piece Perfect Coffee Measuring Spoon Scoop, Black",4.7,5613.0,1134.0,Coffee Measuring Spoon Set
Capsule Baskets,B09K71T2VV,10.0,"Coffee Station Organizer, Wooden Coffee Bar Accessories Organizer for Counter, Farmhouse Kcup Coffee Pod Holder Storage Basket with Handle, Coffee Bar Organizer Station for Coffee Bar Decor White",4.6,305.0,,Coffee Organizer
Capsule Baskets,B09K71575Y,3.0,"Coffee Station Organizer, Wooden Coffee Bar Accessories, Farmhouse Coffee Pod Holder Storage Basket, Countertop Coffee Organizer Station for K Cup Holder",4.6,218.0,4525.0,Coffee Organizer Basket
Coffee Capsule Holders,B09K71575Y,25.0,"Coffee Station Organizer, Wooden Coffee Bar Accessories, Farmhouse Coffee Pod Holder Storage Basket, Countertop Coffee Organizer Station for K Cup Holder",4.6,218.0,4525.0,Coffee Organizer Station
